epoch,loss,lr,mean_squared_error,r2score_fn,val_loss,val_mean_squared_error,val_r2score_fn
0,4168.2041015625,0.001,4156.06494140625,-0.0184098482131958,415.73382568359375,403.82171630859375,-0.02145981788635254
1,4162.0087890625,0.001,4150.0966796875,-0.019207000732421875,408.0145263671875,396.3174133300781,-0.02063286304473877
2,4155.20751953125,0.001,4143.51025390625,-0.018870949745178223,397.65008544921875,386.1585998535156,-0.019731998443603516
3,4146.30615234375,0.001,4134.814453125,-0.018105268478393555,383.9605712890625,372.6666259765625,-0.0186617374420166
4,4134.677734375,0.001,4123.3837890625,-0.01701676845550537,366.4743347167969,355.3702087402344,-0.01737034320831299
5,4120.27490234375,0.001,4109.1708984375,-0.015636920928955078,345.1455078125,334.2230529785156,-0.015838146209716797
6,4103.44091796875,0.001,4092.5185546875,-0.01399087905883789,320.6701965332031,309.92156982421875,-0.01407158374786377
7,4085.604248046875,0.001,4074.855712890625,-0.012137293815612793,295.6545715332031,285.0716857910156,-0.012125849723815918
8,4070.25341796875,0.001,4059.67041015625,-0.010210752487182617,275.571533203125,265.1466064453125,-0.010142326354980469
9,4063.310302734375,0.001,4052.885498046875,-0.008450865745544434,267.2314758300781,256.9605407714844,-0.008368611335754395
10,4067.939697265625,0.001,4057.668701171875,-0.00709688663482666,266.5407409667969,256.42572021484375,-0.007021784782409668
11,4070.13623046875,0.001,4060.021240234375,-0.006015181541442871,265.8654479980469,255.90750122070312,-0.005945920944213867
12,4061.234130859375,0.001,4051.276123046875,-0.0049353837966918945,267.1351318359375,257.3323059082031,-0.004874825477600098
13,4048.77001953125,0.001,4038.96728515625,-0.0037986040115356445,273.1145324707031,263.4621276855469,-0.003754854202270508
14,4040.24951171875,0.001,4030.59716796875,-0.002688765525817871,281.8788757324219,272.3700866699219,-0.0026646852493286133
15,4036.64013671875,0.001,4027.131103515625,-0.0016800165176391602,288.707275390625,279.334228515625,-0.0016696453094482422
16,4034.2705078125,0.001,4024.8974609375,-0.0007691383361816406,289.5906066894531,280.34625244140625,-0.0007613897323608398
17,4029.533447265625,0.001,4020.289306640625,0.00010120868682861328,283.85430908203125,274.73187255859375,0.00011658668518066406
18,4020.30712890625,0.001,4011.184814453125,0.0010043978691101074,273.68243408203125,264.6754150390625,0.0010328888893127441
19,4008.604248046875,0.001,3999.596923828125,0.0019717812538146973,264.0867614746094,255.18865966796875,0.0020112991333007812
20,3998.677490234375,0.001,3989.779296875,0.002973020076751709,257.6974792480469,248.90237426757812,0.0030183792114257812
21,3990.74267578125,0.001,3981.947509765625,0.003977477550506592,254.2163848876953,245.51950073242188,0.004024624824523926
22,3981.849853515625,0.001,3973.153076171875,0.0049915313720703125,252.1077423095703,243.5050506591797,0.005038619041442871
23,3969.9267578125,0.001,3961.32373046875,0.00604325532913208,250.15936279296875,241.64617919921875,0.006090044975280762
24,3961.722900390625,0.001,3953.2099609375,0.007091701030731201,246.41949462890625,237.99163818359375,0.0071402788162231445
25,3951.85986328125,0.001,3943.432373046875,0.008154749870300293,240.670654296875,232.32418823242188,0.008206963539123535
26,3936.710205078125,0.001,3928.36376953125,0.009280502796173096,234.922607421875,226.6529083251953,0.009336233139038086
27,3925.54931640625,0.001,3917.27978515625,0.010427474975585938,229.65750122070312,221.46014404296875,0.010485947132110596
28,3910.150146484375,0.001,3901.952880859375,0.011628866195678711,225.83090209960938,217.7006378173828,0.011688530445098877
29,3899.982666015625,0.001,3891.852294921875,0.012835323810577393,219.74415588378906,211.67543029785156,0.012898087501525879
30,3884.838623046875,0.001,3876.77001953125,0.01408761739730835,212.37875366210938,204.36614990234375,0.014154374599456787
31,3874.895751953125,0.001,3866.883056640625,0.0153428316116333,206.70864868164062,198.7476806640625,0.015411913394927979
32,3857.66357421875,0.001,3849.70263671875,0.016653120517730713,203.13485717773438,195.2210693359375,0.01672273874282837
33,3850.57666015625,0.001,3842.662841796875,0.01793956756591797,197.54685974121094,189.6754608154297,0.01801121234893799
34,3834.75048828125,0.001,3826.879150390625,0.019266366958618164,196.7992401123047,188.9661865234375,0.019336283206939697
35,3816.022705078125,0.001,3808.189697265625,0.020646274089813232,196.206298828125,188.40960693359375,0.02071434259414673
36,3801.65771484375,0.001,3793.861083984375,0.022046148777008057,189.30743408203125,181.54571533203125,0.022117137908935547
37,3788.37548828125,0.001,3780.61376953125,0.023461997509002686,186.28271484375,178.55291748046875,0.0235329270362854
38,3771.60791015625,0.001,3763.878173828125,0.024911701679229736,188.4676513671875,180.76657104492188,0.024978935718536377
39,3751.043701171875,0.001,3743.342529296875,0.02641218900680542,186.45574951171875,178.78114318847656,0.026478886604309082
40,3732.9921875,0.001,3725.31787109375,0.027947723865509033,174.77503967285156,167.12533569335938,0.028020143508911133
41,3720.7021484375,0.001,3713.052490234375,0.029488742351531982,170.55775451660156,162.9281463623047,0.029561877250671387
42,3698.87548828125,0.001,3691.245849609375,0.03108394145965576,177.54843139648438,169.93402099609375,0.0311506986618042
43,3666.416259765625,0.001,3658.8017578125,0.03278172016143799,197.88540649414062,190.2827911376953,0.03283411264419556
44,3658.3671875,0.001,3650.7646484375,0.034435153007507324,163.00807189941406,155.42056274414062,0.034507036209106445
45,3620.22021484375,0.001,3612.6328125,0.03623872995376587,153.46620178222656,145.8882598876953,0.03631436824798584
46,3609.648193359375,0.001,3602.0703125,0.03802579641342163,148.69239807128906,141.11752319335938,0.03810226917266846
47,3573.126220703125,0.001,3565.551025390625,0.039925992488861084,159.87625122070312,152.29837036132812,0.039994239807128906
48,3532.53076171875,0.001,3524.952880859375,0.041944026947021484,178.25315856933594,170.66868591308594,0.042000412940979004
49,3519.505859375,0.001,3511.92138671875,0.043934643268585205,134.73056030273438,127.14212036132812,0.044013142585754395
50,3465.306640625,0.001,3457.71826171875,0.04612874984741211,132.54574584960938,124.94670867919922,0.04620647430419922
51,3450.525390625,0.001,3442.92626953125,0.048308730125427246,120.89981842041016,113.28294372558594,0.04839068651199341
52,3396.131591796875,0.001,3388.5146484375,0.050662100315093994,133.62777709960938,125.98653411865234,0.05073577165603638
53,3346.40478515625,0.001,3338.763427734375,0.05314600467681885,140.89891052246094,133.2313690185547,0.05321425199508667
54,3313.31396484375,0.001,3305.646484375,0.05568230152130127,106.34446716308594,98.6528549194336,0.05576598644256592
55,3255.153564453125,0.001,3247.4619140625,0.05839747190475464,113.5455093383789,105.82199096679688,0.05847585201263428
56,3221.7177734375,0.001,3213.994140625,0.0611567497253418,96.74076843261719,88.97818756103516,0.06124138832092285
57,3132.089111328125,0.001,3124.326416015625,0.06420481204986572,130.40354919433594,122.59640502929688,0.06427186727523804
58,3128.8564453125,0.001,3121.04931640625,0.06714743375778198,96.25015258789062,88.4059066772461,0.06722861528396606
59,3027.83740234375,0.001,3019.9931640625,0.07041692733764648,124.54710388183594,116.65799713134766,0.07048362493515015
60,3006.3486328125,0.00090000004,2998.45947265625,0.07365256547927856,91.05449676513672,83.11898803710938,0.07373261451721191
61,2892.618896484375,0.00090000004,2884.683349609375,0.0772448182106018,130.57012939453125,122.58360290527344,0.07730579376220703
62,2888.441650390625,0.00090000004,2880.455078125,0.08072233200073242,85.37342071533203,77.3424301147461,0.08080142736434937
63,2753.556396484375,0.00090000004,2745.525390625,0.08462291955947876,123.46195220947266,115.38150787353516,0.08468431234359741
64,2730.0205078125,0.00090000004,2721.93994140625,0.08847588300704956,86.41053009033203,78.27445220947266,0.0885513424873352
65,2611.471435546875,0.00090000004,2603.33544921875,0.09266436100006104,98.97908020019531,90.78191375732422,0.09273296594619751
66,2597.479248046875,0.00090000004,2589.281982421875,0.09677374362945557,96.14372253417969,87.88917541503906,0.09684193134307861
67,2458.098388671875,0.00090000004,2449.84375,0.10126197338104248,120.83809661865234,112.52090454101562,0.10131901502609253
68,2396.53759765625,0.00090000004,2388.220458984375,0.1058276891708374,98.56629943847656,90.18099212646484,0.1058921217918396
69,2317.2509765625,0.00090000004,2308.86572265625,0.11054718494415283,101.26101684570312,92.8067855834961,0.11060917377471924
70,2201.25732421875,0.00090000004,2192.802978515625,0.11553025245666504,154.23727416992188,145.70982360839844,0.11557066440582275
71,2137.9208984375,0.00090000004,2129.3935546875,0.12056928873062134,116.22427368164062,107.61784362792969,0.12062287330627441
72,2023.4095458984375,0.00090000004,2014.8031005859375,0.12586599588394165,123.37693786621094,114.69044494628906,0.1259157657623291
73,1913.4072265625,0.00090000004,1904.720703125,0.13137876987457275,160.40292358398438,151.63319396972656,0.1314137578010559
74,1830.9635009765625,0.00090000004,1822.1937255859375,0.13699877262115479,113.76509094238281,104.90658569335938,0.13704955577850342
75,1748.999267578125,0.00090000004,1740.140625,0.14274996519088745,144.65255737304688,135.70712280273438,0.14278852939605713
76,1602.650146484375,0.00090000004,1593.7047119140625,0.1488034725189209,187.377197265625,178.33917236328125,0.14882588386535645
77,1500.8321533203125,0.00090000004,1491.7940673828125,0.155004620552063,184.3682861328125,175.23277282714844,0.15502727031707764
78,1457.733154296875,0.00090000004,1448.59765625,0.16118282079696655,255.5601348876953,246.33831787109375,0.1611802577972412
79,1317.9437255859375,0.00090000004,1308.721923828125,0.16760772466659546,161.3527374267578,152.0383758544922,0.1676364541053772
80,1175.5369873046875,0.00081000006,1166.22265625,0.17433321475982666,141.39036560058594,131.98953247070312,0.17436766624450684
81,1098.00732421875,0.00081000006,1088.6064453125,0.1811314821243286,240.3326873779297,230.8475799560547,0.18113219738006592
82,1006.2583618164062,0.00081000006,996.7733154296875,0.18800276517868042,173.06234741210938,163.48867797851562,0.1880248785018921
83,898.0935668945312,0.00081000006,888.5198974609375,0.19504547119140625,158.5771484375,148.91473388671875,0.19507133960723877
84,815.0440063476562,0.00081000006,805.381591796875,0.20216494798660278,266.1763610839844,256.42620849609375,0.2021557092666626
85,760.8632202148438,0.00081000006,751.1130981445312,0.20923852920532227,140.550537109375,130.7089385986328,0.20926827192306519
86,699.2618408203125,0.00081000006,689.4202270507812,0.21636098623275757,240.29690551757812,230.37213134765625,0.2163587212562561
87,595.4078369140625,0.00081000006,585.4830932617188,0.2235780954360962,181.50340270996094,171.49212646484375,0.2235933542251587
88,513.8501586914062,0.00081000006,503.8388671875,0.23087400197982788,146.6320343017578,136.5341796875,0.23089909553527832
89,466.9029846191406,0.00081000006,456.80511474609375,0.2381453514099121,293.2798156738281,283.1002502441406,0.2381255030632019
90,439.5151062011719,0.00081000006,429.33551025390625,0.2452867031097412,112.18792724609375,101.92384338378906,0.24532026052474976
91,406.1915588378906,0.00081000006,395.927490234375,0.25241440534591675,245.90350341796875,235.56741333007812,0.2524077296257019
92,341.9210510253906,0.00081000006,331.5849609375,0.2595181465148926,112.1639175415039,101.75305938720703,0.2595498561859131
93,272.9809875488281,0.00081000006,262.57012939453125,0.2666877508163452,102.68704986572266,92.20529174804688,0.26672130823135376
94,244.0410919189453,0.00081000006,233.55931091308594,0.2737833857536316,210.113037109375,199.56573486328125,0.27378547191619873
95,243.51422119140625,0.00081000006,232.96693420410156,0.28070247173309326,103.23625183105469,92.62124633789062,0.2807340621948242
96,225.9276580810547,0.00081000006,215.3126678466797,0.28755295276641846,165.9667510986328,155.29571533203125,0.2875661849975586
97,183.48780822753906,0.00081000006,172.8167724609375,0.2943517565727234,114.56410217285156,103.83580017089844,0.29437851905822754
98,146.05914306640625,0.00081000006,135.3308563232422,0.30111926794052124,117.78379821777344,107.00212860107422,0.30114442110061646
99,140.75753784179688,0.00081000006,129.97586059570312,0.30776357650756836,170.99569702148438,160.1678466796875,0.3077735900878906
100,147.40008544921875,0.0007290001,136.57223510742188,0.31424617767333984,131.49105834960938,120.61996459960938,0.3142662048339844
101,124.47850036621094,0.0007290001,113.60740661621094,0.3206669092178345,126.49614715576172,115.58951568603516,0.32068759202957153
102,99.72901153564453,0.0007290001,88.82238006591797,0.32702285051345825,152.61474609375,141.67562866210938,0.32703596353530884
103,106.9872817993164,0.0007290001,96.04815673828125,0.3332328796386719,159.1497344970703,148.17755126953125,0.3332436680793762
104,104.76290130615234,0.0007290001,93.79071044921875,0.3393280506134033,145.80459594726562,134.8072509765625,0.33934181928634644
105,83.45557403564453,0.0007290001,72.45822143554688,0.3453606367111206,146.36285400390625,135.34124755859375,0.34537363052368164
106,78.55918884277344,0.0007290001,67.53758239746094,0.3512914776802063,169.7506561279297,158.70553588867188,0.35129809379577637
107,85.0752182006836,0.0007290001,74.03009033203125,0.35709208250045776,150.78863525390625,139.72647094726562,0.3571029305458069
108,75.83491516113281,0.0007290001,64.77275085449219,0.3628115653991699,153.6750946044922,142.59475708007812,0.36282116174697876
109,62.38044357299805,0.0007290001,51.300106048583984,0.36845606565475464,169.3235321044922,158.2271728515625,0.36846137046813965
110,64.7337417602539,0.0007290001,53.63738250732422,0.373989999294281,148.5020294189453,137.39381408691406,0.3739999532699585
111,66.91455078125,0.0007290001,55.806331634521484,0.37942540645599365,151.87913513183594,140.75709533691406,0.37943416833877563
112,56.58168029785156,0.0007290001,45.45964431762695,0.38478612899780273,132.0666046142578,120.93425750732422,0.38479912281036377
113,50.38323211669922,0.0007290001,39.250877380371094,0.39007073640823364,121.41152954101562,110.27044677734375,0.39008569717407227
114,54.14571762084961,0.0007290001,43.004642486572266,0.39525794982910156,134.750732421875,123.59954071044922,0.39526939392089844
115,54.234832763671875,0.0007290001,43.083648681640625,0.400352418422699,111.87370300292969,100.7165298461914,0.40036875009536743
116,47.20642852783203,0.0007290001,36.049251556396484,0.4053797721862793,108.66551208496094,97.50161743164062,0.40539634227752686
117,43.4867057800293,0.0007290001,32.32280731201172,0.41033023595809937,114.85743713378906,103.68727111816406,0.4103449583053589
118,46.09696960449219,0.0007290001,34.92680740356445,0.41519081592559814,98.2662124633789,87.09271240234375,0.4152088165283203
119,46.81792068481445,0.0007290001,35.6444206237793,0.41997259855270386,103.10613250732422,91.92742156982422,0.41998910903930664
120,42.31235885620117,0.00065610005,31.133649826049805,0.4246833920478821,94.56291198730469,83.38157653808594,0.42470139265060425
121,39.134037017822266,0.00065610005,27.95270347595215,0.4293252229690552,90.27572631835938,79.09239959716797,0.42934370040893555
122,40.88444900512695,0.00065610005,29.701120376586914,0.4338889718055725,97.14371490478516,85.95736694335938,0.43390554189682007
123,40.03647994995117,0.00065610005,28.850128173828125,0.4383794069290161,86.12834930419922,74.94100952148438,0.43839794397354126
124,36.899112701416016,0.00065610005,25.711772918701172,0.4428064227104187,82.40412139892578,71.21591186523438,0.4428253769874573
125,37.252784729003906,0.00065610005,26.064573287963867,0.44716328382492065,87.43543243408203,76.24574279785156,0.44718068838119507
126,37.58742141723633,0.00065610005,26.397729873657227,0.45144981145858765,80.10169982910156,68.91240692138672,0.45146840810775757
127,35.15874481201172,0.00065610005,23.969449996948242,0.45567548274993896,80.49320983886719,69.30390167236328,0.4556936025619507
128,34.149810791015625,0.00065610005,22.96050453186035,0.45983749628067017,85.43766021728516,74.24819946289062,0.4598541855812073
129,34.81697463989258,0.00065610005,23.627517700195312,0.46393316984176636,80.65220642089844,69.4641342163086,0.4639504551887512
130,33.68544006347656,0.00065610005,22.49736976623535,0.4679694175720215,80.70301818847656,69.5155258178711,0.4679863452911377
131,31.979150772094727,0.00065610005,20.791658401489258,0.4719476103782654,81.76634216308594,70.57974243164062,0.47196394205093384
132,32.05048370361328,0.00065610005,20.863887786865234,0.4758656620979309,79.63993835449219,68.4552230834961,0.47588205337524414
133,32.03203582763672,0.00065610005,20.847318649291992,0.47972571849823,80.52900695800781,69.3451919555664,0.479741632938385
134,30.601848602294922,0.00065610005,19.418033599853516,0.4835309386253357,79.46438598632812,68.28227996826172,0.48354673385620117
135,29.683427810668945,0.00065610005,18.501323699951172,0.4872820973396301,79.08143615722656,67.90135192871094,0.48729759454727173
